Author A,Author B,S(A and B),S(A),S(B),A => B confidence,B => A confidence,Jaccard,Cosine,Kulc,IR,years
Ruiping Wang,Xilin Chen,30,35,117,0.8571428571428571,0.2564102564102564,0.2459016393442623,0.4688072309384954,0.5567765567765568,0.6721311475409836,"{2013: 2, 2014: 5, 2015: 10, 2016: 6, 2017: 2, 2018: 3, 2019: 2}"
Ruiping Wang,Shiguang Shan,30,35,123,0.8571428571428571,0.24390243902439024,0.234375,0.4572299568592126,0.5505226480836236,0.6875,"{2013: 2, 2014: 5, 2015: 10, 2016: 6, 2017: 2, 2018: 3, 2019: 2}"
Tu Dinh Nguyen,Dinh Phung,30,31,110,0.967741935483871,0.2727272727272727,0.2702702702702703,0.5137408089380563,0.6202346041055719,0.7117117117117117,"{2013: 2, 2015: 4, 2016: 5, 2017: 7, 2018: 9, 2019: 3}"
Truyen Tran,Svetha Venkatesh,31,31,123,1.0,0.25203252032520324,0.25203252032520324,0.5020284058947295,0.6260162601626016,0.7479674796747967,"{2013: 3, 2014: 4, 2015: 4, 2016: 7, 2017: 6, 2018: 3, 2019: 3, 2021: 1}"
Truyen Tran,Dinh Phung,20,31,110,0.6451612903225806,0.18181818181818182,0.1652892561983471,0.34249387262537084,0.4134897360703812,0.6528925619834711,"{2013: 3, 2014: 4, 2015: 4, 2016: 6, 2017: 3}"
Huihui Bai,Yao Zhao,36,36,151,1.0,0.23841059602649006,0.23841059602649006,0.48827307526269564,0.619205298013245,0.7615894039735099,"{2013: 4, 2014: 8, 2015: 4, 2016: 2, 2017: 7, 2018: 6, 2019: 5}"
Anhong Wang,Yao Zhao,20,21,151,0.9523809523809523,0.13245033112582782,0.13157894736842105,0.35516640114288456,0.5424156417533901,0.8552631578947368,"{2013: 1, 2014: 6, 2015: 2, 2016: 1, 2017: 5, 2018: 2, 2019: 3}"
Bin Fan,Chunhong Pan,21,21,114,1.0,0.18421052631578946,0.18421052631578946,0.4291975376394761,0.5921052631578947,0.8157894736842105,"{2013: 1, 2014: 5, 2015: 3, 2016: 1, 2017: 6, 2018: 2, 2019: 2, 2020: 1}"
Gaofeng Meng,Chunhong Pan,34,35,114,0.9714285714285714,0.2982456140350877,0.2956521739130435,0.538260448832108,0.6348370927318295,0.6869565217391305,"{2013: 6, 2014: 5, 2015: 1, 2016: 2, 2017: 6, 2018: 7, 2019: 6, 2020: 1}"
Gaofeng Meng,Shiming Xiang,26,35,78,0.7428571428571429,0.3333333333333333,0.2988505747126437,0.49761335152811925,0.5380952380952381,0.4942528735632184,"{2013: 6, 2014: 4, 2015: 1, 2016: 1, 2017: 2, 2018: 6, 2019: 5, 2020: 1}"
Xi Li,Fei Wu,20,29,92,0.6896551724137931,0.21739130434782608,0.19801980198019803,0.3872015463311832,0.4535232383808096,0.6237623762376238,"{2014: 2, 2015: 5, 2016: 4, 2017: 2, 2018: 3, 2019: 3, 2020: 1}"
Huang Tiejun,Wen Gao,34,39,208,0.8717948717948718,0.16346153846153846,0.1596244131455399,0.37749825293167844,0.5176282051282052,0.7934272300469484,"{2013: 11, 2014: 8, 2015: 3, 2016: 3, 2017: 2, 2018: 6, 2019: 1}"
Wei-Shi Zheng,Jianhuang Lai,21,24,86,0.875,0.2441860465116279,0.23595505617977527,0.4622367258209525,0.559593023255814,0.6966292134831461,"{2013: 4, 2014: 2, 2015: 4, 2016: 1, 2017: 4, 2018: 1, 2019: 5}"
